AD,date,reconstructed,data_type_code,century,temp_bin,date_as_date,i,temp_class,id
1406,412,6.9,Diary,15,>=6 & <9,2022-04-12,17,gte6-and-lt9,253
1407,411,7.2,Diary,15,>=6 & <9,2022-04-11,16,gte6-and-lt9,254
1408,420,4.3,Diary,15,>=3 & <6,2022-04-20,25,gte3-and-lt6,255
1409,327,11.8,Diary,15,>=9,2022-03-27,1,gte9,256
1410,412,6.9,Diary,15,>=6 & <9,2022-04-12,17,gte6-and-lt9,257
1412,402,9.6,Diary,15,>=9,2022-04-02,7,gte9,258
1413,401,10.2,Diary,15,>=9,2022-04-01,6,gte9,259
1415,415,6,Diary,15,>=6 & <9,2022-04-15,20,gte6-and-lt9,260
1416,410,7.2,Diary,15,>=6 & <9,2022-04-10,15,gte6-and-lt9,261
1417,419,4.9,Diary,15,>=3 & <6,2022-04-19,24,gte3-and-lt6,262
1418,408,8,Diary,15,>=6 & <9,2022-04-08,13,gte6-and-lt9,263
1419,410,7.4,Diary,15,>=6 & <9,2022-04-10,15,gte6-and-lt9,264
1420,421,4.1,Diary,15,>=3 & <6,2022-04-21,26,gte3-and-lt6,265
1421,409,7.7,Diary,15,>=6 & <9,2022-04-09,14,gte6-and-lt9,266
1422,419,4.9,Diary,15,>=3 & <6,2022-04-19,24,gte3-and-lt6,267
1423,406,8.6,Diary,15,>=6 & <9,2022-04-06,11,gte6-and-lt9,268
1424,412,6.6,Diary,15,>=6 & <9,2022-04-12,17,gte6-and-lt9,269
1425,408,8,Diary,15,>=6 & <9,2022-04-08,13,gte6-and-lt9,270
1426,409,7.7,Diary,15,>=6 & <9,2022-04-09,14,gte6-and-lt9,271
1427,412,6.9,Diary,15,>=6 & <9,2022-04-12,17,gte6-and-lt9,272
1429,408,8,Diary,15,>=6 & <9,2022-04-08,13,gte6-and-lt9,273
1430,418,5.2,Diary,15,>=3 & <6,2022-04-18,23,gte3-and-lt6,274
1431,412,6.9,Diary,15,>=6 & <9,2022-04-12,17,gte6-and-lt9,275
1432,413,6.3,Diary,15,>=6 & <9,2022-04-13,18,gte6-and-lt9,276
1433,408,8,Diary,15,>=6 & <9,2022-04-08,13,gte6-and-lt9,277
1434,423,3.8,Diary,15,>=3 & <6,2022-04-23,28,gte3-and-lt6,278
1435,405,8.9,Diary,15,>=6 & <9,2022-04-05,10,gte6-and-lt9,279
1436,410,7.2,Diary,15,>=6 & <9,2022-04-10,15,gte6-and-lt9,280
